epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,2418.02,1.34083,1.10862,0.01947,0.74709,0.69926,0.76158,0.4316,1.58662,1.08439,0.03126,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,2456.08,1.34402,1.09686,0.01922,0.71045,0.6969,0.75963,0.43264,1.61777,1.07645,0.03215,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,2494.13,1.35,1.08538,0.01933,0.41649,0.46014,0.52804,0.25236,1.73275,2.06477,0.03666,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,2531.86,1.33824,1.09633,0.01925,0.72687,0.71769,0.75751,0.45446,1.49448,1.07081,0.02871,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,2569.02,1.33957,1.07483,0.01945,0.6295,0.78082,0.78792,0.47586,1.49273,1.12155,0.02905,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,2606.51,1.34279,1.07685,0.01938,0.78157,0.63249,0.74462,0.46292,1.45481,1.07338,0.02658,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,2644.55,1.34299,1.08853,0.01953,0.7601,0.53691,0.70089,0.38229,1.57817,1.28652,0.03166,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,2682.7,1.32466,1.06872,0.01868,0.67212,0.70369,0.71564,0.38531,1.69206,1.27609,0.03491,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,2720.43,1.33607,1.05603,0.01884,0.64122,0.70533,0.71439,0.38556,1.6507,1.15261,0.03301,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,2758.7,1.32017,1.06384,0.01905,0.83237,0.67541,0.74887,0.45957,1.50441,1.04778,0.02909,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
