fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.45171,0.00113,0.01409,0.85818,0.0006,5.0,0.55422,8.20747,0.40148,2.52895,0.00554,0.73276,0.55466,0.00223,0.11544,0.51479,0.00193,0.00019,0.00827,0.33778,0.0048,0.87201,0.00108,0.00161,0.00248,9
0.4506,0.00128,0.01007,0.98,0.00098,4.35271,0.64448,9.71063,0.45836,4.23824,0.00991,0.46078,0.42589,0.00219,0.07356,0.53683,0.00032,0.00016,0.00398,0.51254,0.00608,0.96477,0.00016,0.00244,0.00465,7
0.45528,0.00089,0.01582,0.96721,0.00055,3.83437,0.6123,8.44899,0.51156,4.8986,0.00749,0.51997,0.53367,0.00117,0.11865,0.47336,0.00124,8e-05,0.00238,0.58431,0.00438,0.90062,0.00154,0.00126,0.0,10
0.4862,0.00137,0.01,0.86753,0.001,4.56104,0.68814,7.20971,0.64437,1.69999,0.01281,0.68183,0.38479,0.00179,0.11024,0.53605,0.00181,3e-05,0.00468,0.35488,0.00648,1.0,0.00164,0.00156,0.00505,7
0.47331,0.00084,0.01008,0.94877,0.0007,3.8161,0.57913,11.83442,0.62859,4.12443,0.01064,0.69134,0.4158,0.00449,0.10244,0.68409,0.00169,0.00012,0.00999,0.44532,0.00523,0.75817,0.00156,0.0014,0.00306,10
0.47267,0.00149,0.01146,0.92208,0.00091,3.47896,0.84386,8.54671,0.47945,4.34208,0.01158,0.72978,0.57585,0.00401,0.08639,0.6916,5e-05,0.00018,0.00862,0.66004,0.00865,0.86224,0.00026,0.00199,0.00355,5
0.48916,0.00107,0.01444,0.96164,0.00088,4.32567,0.77235,8.41785,0.50786,3.87165,0.01236,0.7522,0.4149,0.00342,0.10821,0.51345,0.00027,3e-05,0.00315,0.36044,0.00577,1.0,0.00127,0.00232,0.00425,7
0.48451,0.00116,0.01701,0.96251,0.001,2.59694,0.74532,7.83808,0.5255,3.21544,0.01349,0.67904,0.39664,0.00271,0.10306,0.54848,0.00015,7e-05,0.00825,0.42941,0.00817,1.0,0.0,0.00273,0.00372,10
0.47901,0.00106,0.01343,0.92738,0.00097,4.93094,0.62973,6.67959,0.51394,3.71309,0.01215,0.68413,0.39765,0.00482,0.18315,0.69378,0.0003,1e-05,0.00539,0.32358,0.00302,0.99418,0.00087,0.00352,0.00384,9
0.47662,0.00133,0.01289,0.82317,0.00098,3.79449,0.80018,7.35879,0.39582,4.2974,0.00761,0.80507,0.47222,0.00433,0.09387,0.62855,0.00038,0.0,0.00809,0.49833,0.00681,0.9684,0.00057,0.00526,0.00366,8
0.44974,0.00084,0.01434,0.87329,0.00098,5.0,0.57307,7.21716,0.88998,4.82259,0.00884,0.59687,0.55024,0.001,0.11014,0.52736,0.00062,5e-05,0.00386,0.7214,0.00623,0.85589,0.00061,0.00247,0.00415,8
0.4713,0.00126,0.01276,0.92953,0.00076,3.73281,0.74026,7.87624,0.46268,3.37095,0.01113,0.79457,0.6,0.00301,0.10107,0.64855,0.00139,0.00014,0.00293,0.41731,0.0038,0.97536,0.00201,0.00364,0.00412,7
0.49395,0.00085,0.014,0.91596,0.00075,5.0,0.58707,7.54382,0.50622,1.72764,0.01267,0.50074,0.36735,0.00129,0.15925,0.69376,0.0024,6e-05,0.00715,0.34353,0.00446,0.89627,0.00098,0.00358,0.00262,10
0.47693,0.00132,0.01,0.98,0.00096,2.39182,0.8686,8.98087,0.47472,2.18647,0.01346,0.39114,0.4305,0.005,0.09815,0.45617,0.00013,0.00014,0.00763,0.57943,0.00863,1.0,0.00057,0.00192,0.00319,9
