epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,2054.64,1.39579,1.18017,0.02009,0.7706,0.54806,0.70027,0.37796,1.58469,1.30998,0.03158,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,2085.55,1.39623,1.17455,0.0201,0.58003,0.65348,0.66917,0.3711,1.62062,1.32544,0.03416,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,2115.71,1.39361,1.18729,0.02017,0.62675,0.71857,0.76378,0.41112,1.53998,1.31974,0.02944,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,2145.64,1.40514,1.17946,0.02041,0.69493,0.7471,0.79442,0.41595,1.5892,1.22151,0.03327,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,2175.71,1.37742,1.18769,0.01988,0.76849,0.73849,0.7714,0.44975,1.55799,1.0785,0.03029,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,2205.65,1.38092,1.17378,0.02033,0.73268,0.73398,0.79469,0.47003,1.36501,1.16329,0.02573,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,2236.95,1.36469,1.16177,0.01941,0.62296,0.63042,0.63572,0.3185,1.71343,1.48597,0.0352,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,2266.62,1.37884,1.14642,0.01955,0.63713,0.68601,0.69852,0.38322,1.6446,1.24787,0.03042,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,2296.79,1.37227,1.1779,0.02001,0.59735,0.65754,0.6594,0.37574,1.5518,1.35874,0.03092,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,2327.18,1.37388,1.1667,0.01948,0.63504,0.68352,0.72641,0.34938,1.71202,1.26094,0.0372,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,2357.93,1.36084,1.15383,0.01961,0.65653,0.64458,0.71104,0.33563,1.75582,1.45217,0.03592,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
