epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2460.31,1.36471,0.83556,0.01693,0.71822,0.71412,0.76665,0.43888,1.56749,0.66743,0.02546,0.00170586,0.00170586,0.00170586
87,2488.48,1.36653,0.83066,0.01698,0.7204,0.72856,0.76663,0.40502,1.61472,0.6869,0.02583,0.00170181,0.00170181,0.00170181
88,2516.55,1.35196,0.84,0.01668,0.6187,0.68251,0.70452,0.36218,1.64424,0.79941,0.0274,0.00169776,0.00169776,0.00169776
89,2543.73,1.38037,0.84209,0.01691,0.72375,0.73423,0.78296,0.40476,1.58377,0.71192,0.02537,0.00169371,0.00169371,0.00169371
90,2570.99,1.39918,0.84523,0.01729,0.81941,0.76846,0.82062,0.47229,1.3756,0.72589,0.02168,0.00168966,0.00168966,0.00168966
91,2599.74,1.33613,0.8331,0.0165,0.62159,0.66997,0.74308,0.4346,1.47701,0.77806,0.02274,0.00168561,0.00168561,0.00168561
92,2628.31,1.36126,0.81692,0.01656,0.66972,0.76748,0.77906,0.43365,1.55475,0.73341,0.02465,0.00168156,0.00168156,0.00168156
93,2656.31,1.32807,0.81017,0.01664,0.71978,0.73994,0.7901,0.44337,1.60499,0.67386,0.02455,0.00167752,0.00167752,0.00167752
94,2685.27,1.35564,0.8291,0.01646,0.80943,0.63476,0.79193,0.44587,1.58493,0.67575,0.02589,0.00167347,0.00167347,0.00167347
95,2715.51,1.3566,0.81382,0.01673,0.82235,0.71173,0.78594,0.4667,1.41118,0.78377,0.02152,0.00166942,0.00166942,0.00166942
96,2744.27,1.34057,0.81911,0.01649,0.829,0.7286,0.83707,0.47812,1.59285,0.61936,0.02672,0.00166537,0.00166537,0.00166537
97,2772.8,1.33743,0.81799,0.01662,0.73132,0.7026,0.78961,0.3787,1.69692,0.71975,0.02938,0.00166132,0.00166132,0.00166132
98,2801.32,1.34387,0.7876,0.01665,0.64247,0.74994,0.78832,0.44119,1.42514,0.72395,0.02243,0.00165727,0.00165727,0.00165727
99,2831.03,1.33367,0.7883,0.0166,0.78789,0.74593,0.80533,0.47523,1.4619,0.70544,0.02366,0.00165322,0.00165322,0.00165322
100,2859.46,1.34833,0.8057,0.01656,0.70445,0.73536,0.76458,0.44157,1.5088,0.7126,0.02434,0.00164917,0.00164917,0.00164917
