epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2475.21,1.4127,1.31761,0.03309,0.70786,0.66729,0.73788,0.40316,1.65632,1.15398,0.0547,0.00135479,0.00135479,0.00135479
74,2509.18,1.41488,1.31239,0.03297,0.70265,0.68166,0.76664,0.41213,1.62659,1.13199,0.05179,0.00135166,0.00135166,0.00135166
75,2543.55,1.3977,1.32485,0.03247,0.58183,0.7354,0.75213,0.41511,1.58145,1.26036,0.05113,0.00134853,0.00134853,0.00134853
76,2577.27,1.42232,1.30756,0.0339,0.68092,0.66849,0.77528,0.36655,1.65711,1.33974,0.05381,0.00134541,0.00134541,0.00134541
77,2611.18,1.4,1.28838,0.03206,0.65701,0.68857,0.76766,0.40509,1.79131,1.07031,0.06165,0.00134228,0.00134228,0.00134228
78,2645.28,1.39282,1.29262,0.03256,0.721,0.78235,0.79321,0.44675,1.60797,1.06319,0.05141,0.00133915,0.00133915,0.00133915
79,2679.18,1.39276,1.30165,0.03309,0.74452,0.70358,0.74111,0.44273,1.47448,1.23524,0.04457,0.00133602,0.00133602,0.00133602
80,2713.84,1.39659,1.27413,0.03267,0.58241,0.66472,0.68343,0.36434,1.68426,1.32836,0.05353,0.00133289,0.00133289,0.00133289
81,2747.67,1.38722,1.27682,0.03223,0.62507,0.76427,0.7611,0.45035,1.56272,1.07459,0.04806,0.00132977,0.00132977,0.00132977
82,2781.14,1.38147,1.29123,0.03246,0.76932,0.74507,0.77591,0.43658,1.38252,1.26743,0.04206,0.00132664,0.00132664,0.00132664
83,2815.38,1.39821,1.31734,0.03342,0.56157,0.75885,0.76798,0.42063,1.48875,1.16954,0.0463,0.00132351,0.00132351,0.00132351
84,2849.93,1.38233,1.28073,0.03247,0.88518,0.67696,0.784,0.43999,1.52005,1.02517,0.046,0.00132038,0.00132038,0.00132038
85,2883.65,1.38991,1.27855,0.03315,0.7276,0.76503,0.77571,0.43186,1.53534,1.11807,0.04886,0.00131725,0.00131725,0.00131725
86,2917.04,1.39002,1.28861,0.03248,0.58405,0.75786,0.74428,0.43877,1.43089,1.14703,0.04423,0.00131413,0.00131413,0.00131413
87,2950.71,1.36565,1.24858,0.03171,0.76664,0.78245,0.77926,0.42167,1.59224,1.12544,0.05142,0.001311,0.001311,0.001311
88,2985.07,1.3868,1.25695,0.03229,0.80359,0.76253,0.82023,0.42663,1.59891,1.07198,0.05139,0.00130787,0.00130787,0.00130787
89,3018.98,1.39031,1.28082,0.03272,0.683,0.74683,0.76863,0.4715,1.4319,1.15058,0.04565,0.00130474,0.00130474,0.00130474
90,3052.43,1.37486,1.23179,0.03155,0.88024,0.69692,0.78945,0.44791,1.60771,1.05012,0.05151,0.00130161,0.00130161,0.00130161
91,3086.74,1.38686,1.25844,0.03246,0.70123,0.6934,0.72371,0.38061,1.72861,1.23566,0.05685,0.00129849,0.00129849,0.00129849
92,3120.31,1.3886,1.25636,0.03207,0.82342,0.74217,0.8017,0.44526,1.5604,1.10351,0.05069,0.00129536,0.00129536,0.00129536
